net_id,minlat_id,maxlat_id,minlon_id,maxlon_id,maxkmNS,maxkmEW,min_cut_lat,min_cut_lon,maxlon_dist,maxlat_dist,latavg,lonavg
253,482955,483022,483108,482796,33.86571429,29.95328445,1,1,0.341453956,0.306271947,37.99844805,-119.2545987
254,71847,95846,15591,41947,35.87333415,29.8063359,14,3,0.364457706,0.324428294,42.72090769,-78.56339051
255,141883,141798,142025,142332,10.05494274,3.527676025,1,1,0.040849894,0.09093406,39.12614743,-75.54593951
256,446366,444031,444031,444580,18.08875929,31.18405364,4,4,0.31699665,0.163589626,27.90754889,-97.97794958
257,64382,139298,77825,137220,40.10014545,42.8115324,1,1,0.517306067,0.36265438,41.97519894,-71.04308582
258,482566,482401,482392,482220,7.120045784,14.81955243,1,2,0.158040479,0.064391681,32.61026929,-117.0041736
259,113136,119361,119361,113136,0.90911649,0.873431319,1,1,0.011713458,0.008221793,47.9451235,-89.75871067
260,470324,470104,470104,470324,0.654508505,2.169676873,1,1,0.027119368,0.00591919,44.05320402,-124.0814535
261,457000,457009,457076,457038,118.4857677,80.14757182,1,1,0.91987406,1.071551791,38.49200079,-119.1780359
262,351247,354045,354045,351247,1.195728214,0.228739645,1,1,0.002968362,0.010813828,46.19274077,-98.9294157
263,472433,470620,472270,470932,39.20870495,61.0959324,11,1,0.80483021,0.354592444,47.00548685,-121.8948415
264,460229,459878,459878,460229,5.264152945,2.230934563,1,1,0.029966687,0.047607511,48.02778429,-116.7028385
265,471685,471227,471075,471944,34.292026,55.57765621,15,15,0.748054071,0.31012739,48.13192488,-121.8361763
266,142722,142409,142783,142533,107.9815517,57.56416142,1,2,0.663461557,0.976554631,38.79338212,-76.76133178
267,80278,73924,73924,80278,13.20914592,15.17792777,3,3,0.183655274,0.119459782,42.06374004,-83.43001994
268,116329,602,116329,602,12.81357853,8.019956328,2,2,0.101536289,0.115882382,44.80214711,-85.77116962
269,132100,46751,132100,7966,8.102103847,4.138637995,2,2,0.049601997,0.073273137,41.45060981,-71.50338005
270,107075,43973,43973,107075,0.68234633,0.975082592,1,1,0.012608636,0.006170947,45.9960729,-84.11314107
271,94470,120255,119170,26880,8.573772987,9.552932261,1,1,0.120927091,0.077538779,44.79385836,-67.25545561
272,81246,257856,97859,42932,6.148726988,29.98128184,1,1,0.379019471,0.055607349,44.71722486,-85.82288046
273,478719,480311,480311,478720,5.534889018,7.424744215,1,1,0.083618,0.050055972,37.09404623,-121.1270779
274,36245,20553,88393,127893,16.40946947,8.58572205,2,2,0.102451518,0.148402603,41.16534077,-73.60620676
275,106063,1234,67785,58435,13.15929484,11.71070024,1,1,0.147045507,0.119008943,44.32252182,-83.9357864
276,87324,28952,55119,124528,7.093358928,2.469650624,1,1,0.029430293,0.064150333,41.0773166,-73.61808821
277,3031,37449,525,250,15.34800268,16.77304934,1,1,0.224421311,0.138802998,47.82532427,-90.56000235
278,108797,66408,108797,66408,2.446882059,1.734146161,1,1,0.021677121,0.02212891,44.05748532,-69.29881961
279,350957,350944,355108,353111,4.479258713,5.944590315,1,1,0.076488704,0.04050915,45.72063031,-97.34470706
280,45643,18317,73534,72490,19.51908774,19.31642467,12,12,0.251487176,0.176525112,46.37105048,-68.00602655
281,214206,213234,214206,213234,19.58340129,0.728376755,1,1,0.007521041,0.177106746,29.54423328,-83.14800522
282,123382,129009,129009,123382,3.05107636,2.59015049,1,1,0.03311828,0.027593072,45.36690626,-69.40361553
283,8048,131111,95484,125536,5.901738839,7.206759621,3,1,0.09052813,0.053373658,44.34610505,-68.69800292
284,140342,74673,74673,141701,2.463516817,2.283019787,1,1,0.0273061,0.02227935,41.31709392,-72.40633735
