net_id,vert_btwn_centr_mean,vert_btwn_centr_med,vert_btwn_centr_norm_mean,vert_btwn_centr_norm_med
439,0,0,NA,NA
440,5.777777778,0,0.206349206,0
441,0,0,NA,NA
442,0.333333333,0,0.333333333,0
443,3.285714286,5,0.219047619,0.333333333
444,0,0,NA,NA
445,0,0,NA,NA
446,0,0,NA,NA
447,0,0,NA,NA
448,2.333333333,0,0.042424242,0
449,0,0,NA,NA
450,17.88235294,15,0.149019608,0.125
451,0.333333333,0,0.333333333,0
452,3.5,0,0.166666667,0
453,0.333333333,0,0.333333333,0
454,0,0,NA,NA
455,8.083333333,0,0.146969697,0
456,0,0,NA,NA
457,2,3,0.333333333,0.5
458,0,0,NA,NA
459,0,0,NA,NA
460,1.666666667,0,0.166666667,0
461,0.333333333,0,0.333333333,0
462,0,0,NA,NA
463,0.6,0,0.1,0
464,0,0,NA,NA
465,0.666666667,0,0.066666667,0
466,8.285714286,0,0.106227106,0
467,0,0,NA,NA
468,1.6,0,0.266666667,0
469,0.6,0,0.1,0
470,0.333333333,0,0.333333333,0
471,0,0,NA,NA
472,0.333333333,0,0.333333333,0
473,0.333333333,0,0.333333333,0
474,3.916666667,0,0.071212121,0
475,0,0,NA,NA
476,9.777777778,0,0.071895425,0
477,0,0,NA,NA
478,1.666666667,0,0.166666667,0
479,0.333333333,0,0.333333333,0
480,0.666666667,0,0.066666667,0
481,0,0,NA,NA
482,0,0,NA,NA
483,0.333333333,0,0.333333333,0
484,3.777777778,0,0.134920635,0
485,0,0,NA,NA
486,3.571428571,0,0.238095238,0
487,0,0,NA,NA
488,0.333333333,0,0.333333333,0
489,1.666666667,0,0.166666667,0
490,1.428571429,0,0.095238095,0
491,0,0,NA,NA
492,0.333333333,0,0.333333333,0
493,0.333333333,0,0.333333333,0
494,4,3,0.19047619,0.142857143
495,2.333333333,0,0.083333333,0
496,4.8,0,0.133333333,0
497,0,0,NA,NA
498,0,0,NA,NA
499,0.333333333,0,0.333333333,0
500,2.2,0,0.061111111,0
501,0,0,NA,NA
502,0,0,NA,NA
503,0,0,NA,NA
504,0.333333333,0,0.333333333,0
505,0.333333333,0,0.333333333,0
506,0.333333333,0,0.333333333,0
507,0,0,NA,NA
508,0,0,NA,NA
509,0,0,NA,NA
510,0.333333333,0,0.333333333,0
511,0,0,NA,NA
512,0,0,NA,NA
513,0,0,NA,NA
514,0,0,NA,NA
515,0,0,NA,NA
516,2,3,0.333333333,0.5
517,1.4,0,0.233333333,0
518,0,0,NA,NA
519,3,0,0.2,0
520,0,0,NA,NA
521,1.333333333,0,0.133333333,0
522,4.8,0,0.133333333,0
523,0.333333333,0,0.333333333,0
524,2,3,0.333333333,0.5
525,0,0,NA,NA
526,0.333333333,0,0.333333333,0
527,0.714285714,0,0.047619048,0
528,0,0,0,0
529,2.333333333,2,0.233333333,0.2
530,0,0,NA,NA
531,0,0,NA,NA
532,0,0,NA,NA
533,1,1,0.333333333,0.333333333
534,1.6,0,0.266666667,0
535,0,0,0,0
536,3.6,0,0.1,0
537,1,1,0.333333333,0.333333333
538,0,0,NA,NA
539,0,0,NA,NA
540,0,0,NA,NA
541,0.666666667,0,0.066666667,0
542,0,0,NA,NA
543,1.4,0,0.233333333,0
544,0.8,0,0.022222222,0
545,3.142857143,0,0.20952381,0
546,0,0,NA,NA
547,0.6,0,0.1,0
548,0,0,NA,NA
549,0,0,NA,NA
550,2,3,0.333333333,0.5
551,1,1,0.333333333,0.333333333
552,0,0,NA,NA
553,1,1,0.333333333,0.333333333
554,0,0,0,0
555,0,0,NA,NA
556,0.333333333,0,0.333333333,0
557,0.333333333,0,0.333333333,0
558,0.333333333,0,0.333333333,0
559,1.714285714,0,0.114285714,0
560,0.333333333,0,0.333333333,0
561,0,0,NA,NA
562,0,0,NA,NA
563,0,0,NA,NA
564,0,0,NA,NA
565,1.333333333,0,0.133333333,0
566,0,0,NA,NA
567,0,0,NA,NA
568,0,0,NA,NA
569,0.333333333,0,0.333333333,0
570,1.833333333,0,0.183333333,0
571,0,0,NA,NA
572,0,0,NA,NA
