net_id,vertices_count,edges_count,artic_count,max_cliques,mean_degree_norm,far_vert_1,far_vert_2,far_vert_dist,edge_conn,edge_dens,min_cut,far_min_cut,strength
403,13,22,7,8,0.282051282,143163,142961,24.559,1,0.282051282,1,1,33.03553846
404,4,3,2,3,0.5,461585,461344,10.542,1,0.5,1,1,5.271
405,23,52,9,11,0.205533597,210978,210366,132.062,1,0.205533597,1,1,164.4868696
406,10,45,0,1,1,112233,98876,48.688,9,1,9,9,250.8464
407,5,4,3,4,0.4,26994,80019,2.592,1,0.4,1,1,1.0368
408,2,1,0,1,1,461589,462034,1.953,1,1,1,1,1.953
409,3,3,0,1,1,142633,149036,33.34,2,1,2,2,47.35466667
410,10,31,1,2,0.688888889,463528,463543,252.944,2,0.688888889,2,2,422.3156
411,9,36,0,1,1,152329,152331,70.177,8,1,8,8,349.1851111
412,4,3,1,3,0.5,320906,320904,9.316,1,0.5,1,1,5.167
413,9,14,4,5,0.388888889,482219,482051,136.925,1,0.388888889,1,4,166.9633333
414,2,1,0,1,1,54101,72562,0.056,1,1,1,1,0.056
415,4,3,2,3,0.5,8382,8139,7.648,1,0.5,1,1,3.824
416,2,1,0,1,1,60298,48926,9.727,1,1,1,1,9.727
417,2,1,0,1,1,16306,80990,0.044,1,1,1,1,0.044
418,3,2,1,2,0.666666667,206702,211437,0.384,1,0.666666667,1,1,0.256
419,11,17,4,5,0.309090909,63444,135176,48.518,1,0.309090909,1,1,35.25145455
420,6,11,1,2,0.733333333,470593,471675,108.512,1,0.733333333,1,1,210.361
421,9,11,5,6,0.305555556,481775,481621,117.12,1,0.305555556,1,1,78.16155556
422,2,1,0,1,1,14272,12226,0.584,1,1,1,1,0.584
423,9,8,7,8,0.222222222,444231,446416,64.439,1,0.222222222,1,1,14.31977778
424,2,1,0,1,1,105968,36399,10.22,1,1,1,1,10.22
425,2,1,0,1,1,464751,464884,12.561,1,1,1,1,12.561
426,3,3,0,1,1,142819,142821,0.969,2,1,2,2,1.593333333
427,10,37,1,2,0.822222222,116388,58454,95.236,1,0.822222222,1,1,242.4292
428,4,6,0,1,1,84132,70529,8.379,3,1,3,3,20.369
429,2,1,0,1,1,119419,85348,11.417,1,1,1,1,11.417
430,2,1,0,1,1,201927,198212,8.367,1,1,1,1,8.367
431,17,44,6,9,0.323529412,7513,79912,60.438,1,0.323529412,1,1,116.4598824
432,2,1,0,1,1,456463,456685,8.86,1,1,1,1,8.86
433,3,2,1,2,0.666666667,459869,458361,0.267,1,0.666666667,1,1,0.178
434,6,8,2,3,0.533333333,62220,6085,14.972,1,0.533333333,1,1,25.24133333
435,6,5,2,5,0.333333333,116108,63381,14.098,1,0.333333333,1,1,5.313333333
436,27,48,14,17,0.136752137,8508,58134,61.314,1,0.136752137,1,1,42.73844444
437,6,11,1,2,0.733333333,24074,29208,42.171,1,0.733333333,1,4,88.90866667
438,6,8,2,3,0.533333333,154147,152360,57.621,1,0.533333333,1,3,70.43733333
439,2,1,0,1,1,13574,33406,13.293,1,1,1,1,13.293
440,9,10,4,6,0.277777778,481053,481293,55.572,1,0.277777778,1,1,30.41022222
441,2,1,0,1,1,99647,100625,1.164,1,1,1,1,1.164
442,3,2,1,2,0.666666667,2803,5498,0.438,1,0.666666667,1,1,0.292
443,7,7,4,5,0.333333333,471241,471238,35.442,1,0.333333333,1,1,20.154
444,2,1,0,1,1,236135,232646,1.121,1,1,1,1,1.121
445,2,1,0,1,1,481377,481498,6.026,1,1,1,1,6.026
446,2,1,0,1,1,355953,355962,2.766,1,1,1,1,2.766
447,2,1,0,1,1,153188,153484,0.821,1,1,1,1,0.821
448,12,40,2,3,0.606060606,474283,474044,170.247,1,0.606060606,1,1,630.1861667
449,2,1,0,1,1,21567,127968,2.866,1,1,1,1,2.866
450,17,28,9,10,0.205882353,223186,222534,43.137,1,0.205882353,1,1,23.93082353
451,3,2,1,2,0.666666667,88398,88387,1.823,1,0.666666667,1,1,1.215333333
452,8,8,2,6,0.285714286,96698,25001,8.62,1,0.285714286,1,1,4.454
453,3,2,1,2,0.666666667,142903,143007,21.621,1,0.666666667,1,1,14.414
454,2,1,0,1,1,1141,92707,0.107,1,1,1,1,0.107
455,12,14,4,9,0.212121212,8195,18337,19.186,1,0.212121212,1,1,9.526333333
456,2,1,0,1,1,469743,469496,0.426,1,1,1,1,0.426
457,5,4,3,4,0.4,357114,356821,15.982,1,0.4,1,1,6.3928
458,2,1,0,1,1,455981,456361,4.658,1,1,1,1,4.658
459,2,1,0,1,1,117301,72735,4.409,1,1,1,1,4.409
460,6,8,2,3,0.533333333,469598,469983,16.955,1,0.533333333,1,1,20.22366667
461,3,2,1,2,0.666666667,480588,481309,3.434,1,0.666666667,1,1,2.289333333
462,2,1,0,1,1,347720,345597,0.869,1,1,1,1,0.869
463,5,7,1,2,0.7,473050,473313,6.652,1,0.7,1,3,9.7644
464,2,1,0,1,1,16391,87416,1.047,1,1,1,1,1.047
465,6,11,1,2,0.733333333,46043,96838,55.732,1,0.733333333,1,1,108.0536667
466,14,25,5,6,0.274725275,482213,482397,96.075,1,0.274725275,1,1,93.75742857
467,2,1,0,1,1,426511,424034,1.678,1,1,1,1,1.678
468,5,4,2,4,0.4,131067,80975,7.179,1,0.4,1,1,3.3288
469,5,7,1,2,0.7,83255,136059,13.181,1,0.7,1,1,26.1152
470,3,2,1,2,0.666666667,8118,60178,7.701,1,0.666666667,1,1,5.134
471,2,1,0,1,1,3520,19439,1.353,1,1,1,1,1.353
472,3,2,1,2,0.666666667,214031,215031,1.493,1,0.666666667,1,1,0.995333333
473,3,2,1,2,0.666666667,205438,211342,2.852,1,0.666666667,1,1,1.901333333
474,12,27,2,5,0.409090909,3647,58249,41.788,1,0.409090909,1,1,77.39766667
475,2,1,0,1,1,351257,350580,0.431,1,1,1,1,0.431
476,18,46,7,9,0.300653595,472348,471645,99.397,1,0.300653595,1,1,180.2575556
477,2,1,0,1,1,457241,457242,1.22,1,1,1,1,1.22
478,6,8,2,3,0.533333333,470228,469800,180.352,1,0.533333333,1,1,238.9016667
479,3,2,1,2,0.666666667,441539,441544,1.05,1,0.666666667,1,1,0.7
480,6,11,1,2,0.733333333,32156,70570,17.07,1,0.733333333,1,1,34.762
481,2,1,0,1,1,456261,455797,17.275,1,1,1,1,17.275
482,2,1,0,1,1,66533,38417,0.241,1,1,1,1,0.241
483,3,2,1,2,0.666666667,198771,198759,2.273,1,0.666666667,1,1,1.515333333
484,9,14,3,4,0.388888889,314256,314463,107.651,1,0.388888889,1,1,110.6702222
485,2,1,0,1,1,39449,31050,3.09,1,1,1,1,3.09
486,7,6,3,6,0.285714286,219166,215105,4.686,1,0.285714286,1,1,1.461714286
487,2,1,0,1,1,90016,139705,1.769,1,1,1,1,1.769
488,3,2,1,2,0.666666667,42998,85465,30.542,1,0.666666667,1,1,20.36133333
489,6,7,2,3,0.466666667,125835,3362,24.083,1,0.466666667,1,1,19.84566667
490,7,12,2,3,0.571428571,482321,481878,27.355,1,0.571428571,1,1,58.076
491,2,1,0,1,1,223291,221213,6.235,1,1,1,1,6.235
492,3,2,1,2,0.666666667,2521,71691,4.721,1,0.666666667,1,1,3.147333333
493,3,2,1,2,0.666666667,40781,93785,1.041,1,0.666666667,1,1,0.694
494,8,10,4,5,0.357142857,66489,69546,21.841,1,0.357142857,1,1,15.41975
495,9,18,3,4,0.5,97796,103896,50.265,1,0.5,1,1,108.1562222
496,10,19,4,5,0.422222222,82062,101656,24.011,1,0.422222222,1,1,40.1866
497,2,1,0,1,1,142652,142947,0.923,1,1,1,1,0.923
498,2,1,0,1,1,210221,205395,0.053,1,1,1,1,0.053
499,3,2,1,2,0.666666667,116126,115010,3.385,1,0.666666667,1,1,2.256666667
500,10,30,2,3,0.666666667,456738,456772,88.121,1,0.666666667,1,7,265.6002
501,2,1,0,1,1,120318,98626,1.105,1,1,1,1,1.105
502,2,1,0,1,1,352463,354516,0.98,1,1,1,1,0.98
503,2,1,0,1,1,469977,470332,1.715,1,1,1,1,1.715
504,3,2,1,2,0.666666667,59243,69533,1.554,1,0.666666667,1,1,1.036
505,3,2,1,2,0.666666667,351771,353823,8.471,1,0.666666667,1,1,5.647333333
506,3,2,1,2,0.666666667,482702,482720,36.461,1,0.666666667,1,1,24.30733333
507,2,1,0,1,1,454004,453894,15.379,1,1,1,1,15.379
508,2,1,0,1,1,469967,469579,1.603,1,1,1,1,1.603
509,2,1,0,1,1,134668,1448,0.071,1,1,1,1,0.071
