"lagoslakeid","net_id","net_dams_n","lake_nets_nearestdamdown_km","lake_nets_nearestdamup_km","lake_nets_totaldamup_n","lake_nets_totaldamdown_n","lake_nets_damonlake_flag","lake_nets_multidam_flag"
317466,1,24986,NA,NA,0,0,"N","N"
317467,1,24986,NA,NA,0,0,"N","N"
317469,1,24986,NA,NA,0,0,"N","N"
317470,1,24986,NA,NA,0,0,"N","N"
317471,1,24986,384.65,NA,0,1,"N","N"
317477,1,24986,288.692,NA,0,1,"N","N"
317480,1,24986,277.218,NA,0,1,"N","N"
317482,1,24986,0,NA,0,1,"N","N"
317483,1,24986,NA,NA,0,0,"N","N"
317484,1,24986,224.42,NA,0,1,"N","N"
317486,1,24986,NA,NA,0,0,"N","N"
317487,1,24986,229.971,NA,0,1,"N","N"
317488,1,24986,230.115,NA,0,1,"N","N"
317489,1,24986,NA,NA,0,0,"N","N"
317495,1,24986,NA,NA,0,0,"N","N"
317496,1,24986,0,NA,0,2,"N","N"
317501,1,24986,NA,NA,0,0,"N","N"
317502,1,24986,0,NA,0,1,"N","N"
317508,1,24986,NA,NA,0,0,"N","N"
317514,1,24986,NA,NA,0,0,"N","N"
317515,1,24986,NA,NA,0,0,"N","N"
317517,1,24986,132.206,NA,0,1,"N","N"
317518,1,24986,NA,NA,0,0,"N","N"
317520,1,24986,130.664,NA,0,1,"N","N"
317521,1,24986,NA,NA,0,0,"N","N"
317522,1,24986,128.832,NA,0,1,"N","N"
317523,1,24986,185.496,NA,0,1,"N","N"
317525,1,24986,NA,NA,0,0,"N","N"
317533,1,24986,NA,NA,0,0,"N","N"
317536,1,24986,NA,NA,0,0,"N","N"
317538,1,24986,0,NA,0,2,"N","N"
317539,1,24986,378.626,NA,0,1,"N","N"
317540,1,24986,377.631,NA,0,1,"N","N"
317541,1,24986,366.725,NA,0,1,"N","N"
317542,1,24986,354.775,0,1,1,"N","N"
317548,1,24986,NA,NA,0,0,"N","N"
317554,1,24986,311.098,NA,0,1,"N","N"
317555,1,24986,344.743,NA,0,1,"N","N"
317557,1,24986,NA,NA,0,0,"N","N"
317562,1,24986,0,NA,0,2,"Y","N"
317563,1,24986,255.662,NA,0,1,"N","N"
317564,1,24986,254.68,NA,0,1,"N","N"
317566,1,24986,256.171,NA,0,1,"N","N"
317568,1,24986,NA,NA,0,0,"N","N"
317571,1,24986,152.096,NA,0,1,"N","N"
317572,1,24986,0,NA,0,1,"N","N"
317575,1,24986,0,NA,0,1,"Y","N"
317582,1,24986,NA,NA,0,0,"N","N"
317583,1,24986,NA,NA,0,0,"N","N"
317584,1,24986,NA,NA,0,0,"N","N"
317586,1,24986,NA,NA,0,0,"N","N"
317588,1,24986,NA,NA,0,0,"N","N"
317591,1,24986,NA,NA,0,0,"N","N"
317592,1,24986,NA,NA,0,0,"N","N"
317593,1,24986,NA,NA,0,0,"N","N"
317594,1,24986,131.337,NA,0,1,"N","N"
317595,1,24986,NA,NA,0,0,"N","N"
317608,1,24986,NA,NA,0,0,"N","N"
317609,1,24986,NA,NA,0,0,"N","N"
317610,1,24986,0,5.222,3,1,"N","N"
317611,1,24986,0,25.87,3,2,"N","N"
317612,1,24986,NA,NA,0,0,"N","N"
317614,1,24986,384.462,NA,0,1,"N","N"
317618,1,24986,NA,NA,0,0,"N","N"
317619,1,24986,334.952,NA,0,1,"N","N"
317623,1,24986,0,NA,0,2,"Y","N"
317629,1,24986,0,NA,0,2,"N","N"
317633,1,24986,301.654,NA,0,1,"N","N"
317634,1,24986,300.47,NA,0,1,"N","N"
317637,1,24986,NA,NA,0,0,"N","N"
317641,1,24986,221.877,NA,0,1,"N","N"
317644,1,24986,0,NA,0,2,"Y","N"
317646,1,24986,212.578,10.917,1,1,"N","N"
317647,1,24986,262.854,NA,0,1,"N","N"
317651,1,24986,0,NA,0,2,"Y","N"
317658,1,24986,NA,NA,0,0,"N","N"
317660,1,24986,119.53,NA,0,1,"N","N"
317661,1,24986,191.806,NA,0,1,"N","N"
317662,1,24986,0,NA,0,2,"N","N"
317663,1,24986,201.685,NA,0,1,"N","N"
317664,1,24986,3.665,NA,0,1,"N","N"
317668,1,24986,NA,NA,0,0,"N","N"
317670,1,24986,NA,NA,0,0,"N","N"
317672,1,24986,136.77,NA,0,1,"N","N"
317676,1,24986,0,NA,0,1,"N","N"
317677,1,24986,NA,NA,0,0,"N","N"
317679,1,24986,NA,NA,0,0,"N","N"
317680,1,24986,NA,NA,0,0,"N","N"
317681,1,24986,NA,NA,0,0,"N","N"
317689,1,24986,NA,NA,0,0,"N","N"
317690,1,24986,0,NA,0,1,"N","N"
317691,1,24986,NA,NA,0,0,"N","N"
317692,1,24986,NA,NA,0,0,"N","N"
317693,1,24986,NA,NA,0,0,"N","N"
317694,1,24986,NA,NA,0,0,"N","N"
317695,1,24986,NA,NA,0,0,"N","N"
317697,1,24986,NA,NA,0,0,"N","N"
317698,1,24986,NA,NA,0,0,"N","N"
317699,1,24986,131.198,NA,0,1,"N","N"
317700,1,24986,NA,NA,0,0,"N","N"
317702,1,24986,125.451,NA,0,1,"N","N"
317703,1,24986,147.406,NA,0,1,"N","N"
317710,1,24986,134.259,NA,0,1,"N","N"
317711,1,24986,210.548,NA,0,1,"N","N"
317715,1,24986,NA,NA,0,0,"N","N"
317716,1,24986,0,NA,0,1,"Y","N"
317717,1,24986,380.596,NA,0,1,"N","N"
317718,1,24986,380.143,NA,0,1,"N","N"
317726,1,24986,0,NA,0,3,"Y","N"
317729,1,24986,306.647,NA,0,1,"N","N"
317732,1,24986,294.799,NA,0,1,"N","N"
317733,1,24986,NA,NA,0,0,"N","N"
317734,1,24986,306.692,NA,0,1,"N","N"
317736,1,24986,0,NA,0,3,"N","N"
317737,1,24986,310.4,NA,0,1,"N","N"
317748,1,24986,NA,NA,0,0,"N","N"
317750,1,24986,0,NA,0,1,"N","N"
317751,1,24986,NA,NA,0,0,"N","N"
317753,1,24986,NA,NA,0,0,"N","N"
317756,1,24986,NA,NA,0,0,"N","N"
317759,1,24986,NA,NA,0,0,"N","N"
317760,1,24986,NA,NA,0,0,"N","N"
317764,1,24986,NA,NA,0,0,"N","N"
317765,1,24986,NA,NA,0,0,"N","N"
317771,1,24986,NA,NA,0,0,"N","N"
317782,1,24986,NA,NA,0,0,"N","N"
317784,1,24986,131.509,NA,0,1,"N","N"
317785,1,24986,NA,NA,0,0,"N","N"
317786,1,24986,NA,NA,0,0,"N","N"
317788,1,24986,175.68,NA,0,1,"N","N"
317791,1,24986,144.364,NA,0,1,"N","N"
317792,1,24986,124.843,NA,0,1,"N","N"
317794,1,24986,123.277,NA,0,1,"N","N"
317797,1,24986,106.039,NA,0,1,"N","N"
317798,1,24986,NA,NA,0,0,"N","N"
317799,1,24986,191.857,NA,0,1,"N","N"
317801,1,24986,194.943,NA,0,1,"N","N"
317802,1,24986,NA,NA,0,0,"N","N"
317808,1,24986,NA,NA,0,0,"N","N"
317810,1,24986,NA,NA,0,0,"N","N"
317811,1,24986,NA,5.931,2,0,"N","N"
317812,1,24986,0,5.423,37,1,"N","N"
317813,1,24986,NA,NA,0,0,"N","N"
317814,1,24986,NA,NA,0,0,"N","N"
317815,1,24986,NA,NA,0,0,"N","N"
317816,1,24986,NA,NA,0,0,"N","N"
317817,1,24986,NA,NA,0,0,"N","N"
317818,1,24986,NA,NA,0,0,"N","N"
317819,1,24986,NA,NA,0,0,"N","N"
317824,1,24986,NA,NA,0,0,"N","N"
317828,1,24986,NA,NA,0,0,"N","N"
317829,1,24986,NA,NA,0,0,"N","N"
317831,1,24986,NA,NA,0,0,"N","N"
317845,1,24986,NA,NA,0,0,"N","N"
317856,1,24986,NA,NA,0,0,"N","N"
317874,1,24986,NA,NA,0,0,"N","N"
317884,1,24986,0,NA,0,1,"N","N"
317904,1,24986,0,NA,0,1,"Y","N"
317906,1,24986,NA,NA,0,0,"N","N"
317910,1,24986,NA,NA,0,0,"N","N"
317915,1,24986,187.251,NA,0,5,"N","N"
317919,1,24986,104.177,NA,0,5,"N","N"
317930,1,24986,0,NA,0,1,"N","N"
317941,1,24986,NA,NA,0,0,"N","N"
317945,1,24986,NA,NA,0,0,"N","N"
317948,1,24986,8.908,NA,0,1,"N","N"
317949,1,24986,0,NA,0,1,"Y","N"
317952,1,24986,NA,NA,0,0,"N","N"
317953,1,24986,0,NA,0,1,"Y","N"
317957,1,24986,48.089,1.238,1,5,"N","N"
