"net_id","net_lakes_n","net_averagelakedistance_km","net_averagelakearea_ha","net_dams_n","net_avgorder","net_maxorder","net_minorder","net_rangeorder","vertices_count","edges_count","artic_count","max_cliques","mean_degree_norm","far_vert_1","far_vert_2","far_vert_dist","edge_conn","edge_dens","min_cut","far_min_cut","strength","minlat_id","maxlat_id","minlon_id","maxlon_id","maxkmNS","maxkmEW","min_cut_lat","min_cut_lon","maxlon_dist","maxlat_dist","latavg","lonavg"
237,28,53.324,104.129,19,2,5,0,5,28,67,12,16,0.177248677,455880,455768,168.47,1,0.177248677,1,1,255.1951429,455768,456182,455880,455768,106.2251786,155.6588097,1,1,1.859200775,0.960670488,41.22604628,-112.0187682
140,41,36.843,947.874,56,2,6,0,6,41,98,13,20,0.119512195,456336,455874,198.429,1,0.119512195,1,1,176.1284878,456142,456022,455818,455970,120.0043929,96.97160623,1,1,1.147618288,1.085285807,40.61815615,-111.9245518
481,2,17.275,50.853,3,5,5,5,0,2,1,0,1,1,456261,455797,17.275,1,1,1,1,17.275,456261,455797,456261,455797,14.90342224,4.381194443,1,1,0.052973119,0.134782338,42.01577245,-112.7166854
393,4,47.974,33.98,4,2,4,0,4,4,4,1,2,0.666666667,456173,456271,92.301,1,0.666666667,1,1,95.947,456271,455884,455884,456271,41.44101469,20.00361427,1,1,0.230937157,0.374780823,38.91172789,-114.0375086
312,2,27.405,44.897,4,4,4,4,0,2,1,0,1,1,455972,456279,27.405,1,1,1,1,27.405,456279,455972,456279,455972,23.61803398,0.26603405,1,1,0.003200878,0.213594823,41.70197143,-112.4594059
458,2,4.658,4.913,1,3,3,3,0,2,1,0,1,1,455981,456361,4.658,1,1,1,1,4.658,456361,455981,456361,455981,0.202585226,4.268022469,1,1,0.051318662,0.001832124,41.65999588,-114.0036177
728,4,61.788,55.91,4,4,5,3,2,4,6,0,1,1,456260,456176,103.612,3,1,3,3,185.364,456358,456176,456260,456176,38.73465691,34.57987746,3,3,0.415524673,0.350305288,41.61908936,-114.0251856
432,2,8.86,33.53,2,3,4,2,2,2,1,0,1,1,456463,456685,8.86,1,1,1,1,8.86,456463,456685,456685,456463,5.433951531,6.176258214,1,1,0.070051023,0.049143122,37.62469483,-113.4874112
119,45,85.409,189.669,55,3,6,0,6,45,140,13,14,0.141414141,456626,456530,759.697,1,0.141414141,1,1,531.4321778,456528,456677,456596,456546,220.237668,137.3250199,2,1,1.580235738,1.991767215,38.678951,-112.0702758
676,4,13.107,42.127,2,3,3,2,1,4,4,1,2,0.666666667,456519,456651,22.647,1,0.666666667,1,1,26.2135,456651,456684,456651,456519,7.218164482,11.31234919,1,1,0.12813689,0.065279039,37.52735961,-113.8642753
870,2,2.268,1.881,1,2,2,2,0,2,1,0,1,1,456566,456628,2.268,1,1,1,1,2.268,456628,456566,456628,456566,0.878730255,1.953566608,1,1,0.022126284,0.007946988,37.52030318,-112.6847401
648,5,16.398,81.798,4,5,6,2,4,5,4,3,4,0.4,456792,456794,65.593,1,0.4,1,1,26.2372,456792,456731,456792,456794,24.32012068,31.43880428,1,1,0.375062033,0.219944297,41.14952341,-119.3331253
500,10,44.267,11.249,13,3,5,0,5,10,30,2,3,0.666666667,456738,456772,88.121,1,0.666666667,1,7,265.6002,456772,456797,456738,456774,27.44283048,28.8824294,7,1,0.347758716,0.248185202,41.74814445,-118.7923742
95,21,219.3,291.825,43,3,7,0,7,21,157,2,3,0.747619048,456892,456733,552.243,1,0.747619048,1,2,3279.04981,456891,456842,456733,456861,146.3906325,286.3295036,2,2,3.407117248,1.3239155,40.97639531,-116.7093872
836,2,9.233,16.512,2,4,5,4,1,2,1,0,1,1,456767,456791,9.233,1,1,1,1,9.233,456767,456791,456767,456791,7.917856466,2.73854238,1,1,0.032662045,0.071606856,41.13248271,-119.8343222
14,65,30.006,1507.086,28,1,5,0,5,65,122,26,42,0.058653846,457037,456958,179.715,1,0.058653846,1,1,112.6379077,456971,457037,457405,457037,143.1110167,72.60283926,6,1,0.848478362,1.294255582,39.76486876,-119.7853674
71,40,83.75,114.008,20,1,5,0,5,40,446,8,10,0.571794872,457462,457369,260.183,1,0.571794872,1,1,1867.6208,457369,457462,456907,457461,134.6023056,111.4949356,1,1,1.292199691,1.217305204,39.18586224,-119.1614159
