lagoslakeid,net_id,lagos_degree,strength
156894,2,61,5592.551
157284,2,2,3.62
157285,2,2,2.408
158153,2,59,6394.406
157094,2,59,10049.573
159625,2,59,9231.522
159400,2,2,6.391
157300,2,59,6701.153
157731,2,59,5059.451
156909,2,2,7.37
157315,2,59,5672.657
157292,2,59,5718.682
165187,2,99,13359.888
163727,2,42,2873.221
163016,2,42,3196.746
164467,2,42,3977.488
165169,2,43,2968.313
160873,2,2,1.687
162949,2,2,0.576
165876,2,2,3.963
165875,2,3,7.186
162230,2,2,0.373
161527,2,3,5.569
165753,2,6,85.393
163041,2,2,5.821
161266,2,2,0.904
161974,2,3,3.479
161981,2,140,14393.001
164891,2,138,21246.353
165824,2,142,14168.394
165760,2,4,19.985
162844,2,5,42.361
163585,2,4,26.199
165035,2,140,12869.657
165818,2,2,1.186
163636,2,2,2.965
162191,2,138,15540.35
160720,2,6,43.921
165031,2,5,34.158
162866,2,7,52.918
164350,2,140,12424.395
165756,2,2,0.078
165755,2,138,15598.392
162644,2,8,51.262
160525,2,7,45
165544,2,2,1.083
161911,2,2,2.891
160546,2,142,16197.016
164253,2,3,1.757
165711,2,7,36.432
165691,2,6,37.256
162048,2,6,32.41
164218,2,2,0.12
161329,2,2,0.259
162019,2,4,6.929
164205,2,3,0.439
164220,2,3,2.355
164243,2,2,0.524
163507,2,5,7.572
162787,2,2,0.135
162069,2,5,10.306
162058,2,5,8.358
161342,2,2,0.166
164219,2,3,3.575
164221,2,4,7.39
164225,2,2,0.094
162052,2,2,0.095
160679,2,2,0.362
165685,2,2,0.783
161343,2,3,5.578
162036,2,5,9.701
161330,2,4,3.275
162020,2,3,0.556
164193,2,3,0.724
163475,2,3,0.429
162018,2,139,15606.481
165579,2,141,15611.525
163455,2,138,14648.82
161934,2,2,0.359
161933,2,2,0.241
163397,2,2,0.376
163398,2,138,15648.599
162126,2,138,15243.045
162179,2,139,16710.561
161393,2,138,17931.887
165637,2,3,2.007
165638,2,2,0.97
164898,2,2,2.134
163463,2,2,1.535
165663,2,138,13702.138
