"net_id","GAP12_ctr","GAP123_ctr","GAP12_80pct","GAP123_80pct","nHubs","GAP12_ctr_pct","GAP123_ctr_pct","GAP12_80pct_pct","GAP123_80pct_pct","edge_dens","artic_count","min_cut_lat","maxkmNS","net_lakes_n","net_averagelakedistance_km","net_rangeorder","net_dams_n","vert_btwn_centr_norm_mean","artic_pct","artic_pct_inv","DamRate","DamRate_inv","WSA9","PCconnall","net_GAP12_ctr_pct","net_GAP123_ctr_pct","net_GAP12_80pct_pct","net_GAP123_80pct_pct"
"141",2,2,0,0,2,100,100,0,0,0.133333333,13,1,4.042661396,25,4.322,3,2,0.15826087,0.52,0.48,0.08,0.92,"CPL",1.86739480079692,0.4,0.72,0.04,0.04
"142",0,0,0,0,1,0,0,0,0,0.172307692,11,8,19.80638929,26,18.288,4,15,0.084871795,0.423076923076923,0.576923076923077,0.576923076923077,0.423076923076923,"CPL",1.21152545352482,0.461538461538462,0.461538461538462,0.153846153846154,0.153846153846154
"144",NA,NA,NA,NA,0,NA,NA,NA,NA,0.761904762,2,12,18.10838471,15,25.744,2,0,0.019047619,0.133333333333333,0.866666666666667,0,1,"UMW",2.38059057229051,0,0.8,0,0.266666666666667
"145",1,2,1,2,2,50,100,50,100,0.276679842,7,10,72.48363013,23,120.244,4,21,0.064746847,0.304347826086957,0.695652173913043,0.91304347826087,0.0869565217391305,"WMT",1.66846504331116,0.217391304347826,0.652173913043478,0.217391304347826,0.478260869565217
"146",0,0,0,0,1,0,0,0,0,0.25,8,8,23.79281709,33,26.878,4,14,0.034640762,0.242424242424242,0.757575757575758,0.424242424242424,0.575757575757576,"TPL",1.08210611944943,0,0,0,0
"147",1,1,1,1,1,100,100,100,100,0.402173913,4,1,47.73852153,24,35.595,2,0,0.049736495,0.166666666666667,0.833333333333333,0,1,"CPL",1.61143194497008,0.958333333333333,1,0.125,0.125
"148",0,0,0,0,1,0,0,0,0,0.366666667,4,2,51.42283831,21,20.468,5,12,0.050125313,0.19047619047619,0.80952380952381,0.571428571428571,0.428571428571429,"CPL",1.18183885658412,0.285714285714286,0.285714285714286,0,0
"15",0,2,0,0,24,0,8.33,0,0,0.326284091,142,426,173.6281866,765,194.505,6,424,0.001500851,0.18562091503268,0.81437908496732,0.554248366013072,0.445751633986928,"SAP",10.2506268965339,0.0274509803921569,0.0522875816993464,0.0065359477124183,0.0300653594771242
"150",NA,NA,NA,NA,0,NA,NA,NA,NA,0.807881773,3,25,30.81995048,29,62.419,3,11,0.007389163,0.103448275862069,0.896551724137931,0.379310344827586,0.620689655172414,"NAP",2.41008761246043,0.0344827586206897,0.103448275862069,0,0
"151",1,1,0,0,3,33.33,33.33,0,0,0.164502165,11,2,50.63171903,22,34.545,2,24,0.101515152,0.5,0.5,1.09090909090909,-0.0909090909090908,"CPL",2.45909007101672,0.0454545454545455,0.0454545454545455,0,0
"152",NA,NA,NA,NA,0,NA,NA,NA,NA,0.4,3,1,7.65416519,5,3.07,3,4,0.333333333,0.6,0.4,0.8,0.2,"NAP",3.10835753648928,0.2,0.2,0.2,0.2
"153",0,0,0,0,8,0,0,0,0,0.093216398,78,1,85.75847683,174,60.037,5,36,0.017476626,0.448275862068966,0.551724137931034,0.206896551724138,0.793103448275862,"UMW",1.72788549547201,0.0114942528735632,0.028735632183908,0,0
"154",0,0,0,0,1,0,0,0,0,0.476190476,4,1,29.65320004,15,17.576,4,5,0.054212454,0.266666666666667,0.733333333333333,0.333333333333333,0.666666666666667,"NAP",0.821492252342762,0,0,0,0
"156",0,1,0,0,2,0,50,0,0,0.139705882,10,1,25.88630656,17,6.621,3,7,0.210294118,0.588235294117647,0.411764705882353,0.411764705882353,0.588235294117647,"NAP",2.15041963529605,0.0588235294117647,0.176470588235294,0,0.0588235294117647
"158",NA,NA,NA,NA,0,NA,NA,NA,NA,0.333333333,3,1,2.142567742,6,7.929,2,4,0.266666667,0.5,0.5,0.666666666666667,0.333333333333333,"CPL",2.15456366730819,0,0,0,0
"16",0,0,0,2,17,0,0,0,11.76,0.263082707,66,26,128.3191533,400,146.166,5,134,0.002957677,0.165,0.835,0.335,0.665,"CPL",1.70700291883374,0.0025,0.005,0,0.0125
"160",3,3,1,1,8,37.5,37.5,12.5,12.5,0.050041935,80,1,122.7284339,147,159.94,6,52,0.034433915,0.54421768707483,0.45578231292517,0.353741496598639,0.646258503401361,"TPL",1.99611826447094,0.163265306122449,0.19047619047619,0.0204081632653061,0.0204081632653061
"161",0,0,0,0,1,0,0,0,0,0.642857143,1,2,131.6472509,8,49.252,3,2,0.05952381,0.125,0.875,0.25,0.75,"CPL",1.72843030163415,0.125,0.125,0,0
"162",0,0,0,0,3,0,0,0,0,0.09280303,18,1,16.21478937,33,5.665,4,27,0.120234604,0.545454545454545,0.454545454545455,0.818181818181818,0.181818181818182,"NAP",2.16621807034921,0.0303030303030303,0.303030303030303,0,0
"164",0,1,0,1,1,0,100,0,100,0.11954023,17,1,18.81060337,30,10.463,2,0,0.152134647,0.566666666666667,0.433333333333333,0,1,"UMW",2.16337699510345,0.0666666666666667,0.766666666666667,0.0333333333333333,0.933333333333333
"165",0,0,0,0,2,0,0,0,0,0.702898551,4,19,112.3077066,24,142.213,1,8,0.017786561,0.166666666666667,0.833333333333333,0.333333333333333,0.666666666666667,"CPL",1.85923996263206,0,0,0,0
"166",0,0,0,0,2,0,0,0,0,0.56849753,38,1,143.1610374,186,139.279,3,93,0.004146292,0.204301075268817,0.795698924731183,0.5,0.5,"CPL",1.51291178464746,0.0268817204301075,0.0268817204301075,0.00537634408602151,0.00537634408602151
"168",1,2,0,0,4,25,50,0,0,0.321648815,25,1,72.12353377,79,58.194,4,62,0.017969372,0.316455696202532,0.683544303797468,0.784810126582278,0.215189873417722,"SAP",1.49974993699203,0.0506329113924051,0.253164556962025,0,0
"169",1,2,0,0,2,50,100,0,0,0.297682709,9,15,43.10441688,34,40.756,4,1,0.049131016,0.264705882352941,0.735294117647059,0.0294117647058824,0.970588235294118,"UMW",1.3207962746971,0.147058823529412,0.588235294117647,0.411764705882353,0.411764705882353
"17",0,1,0,0,10,0,10,0,0,0.303452774,34,2,166.9418764,222,105.808,6,66,0.005435608,0.153153153153153,0.846846846846847,0.297297297297297,0.702702702702703,"CPL",1.54381420747151,0,0.0135135135135135,0,0.0045045045045045
"173",NA,NA,NA,NA,0,NA,NA,NA,NA,0.652631579,4,1,27.93006874,20,25.393,2,3,0.025730994,0.2,0.8,0.15,0.85,"CPL",1.71179003369373,0.05,0.15,0.05,0.1
"175",NA,NA,NA,NA,0,NA,NA,NA,NA,0.277777778,4,1,20.31467178,9,12.734,4,3,0.194444444,0.444444444444444,0.555555555555556,0.333333333333333,0.666666666666667,"UMW",1.29153824316556,0,0,0,0
"177",0,1,0,0,3,0,33.33,0,0,0.152861953,19,1,96.62927275,55,67.362,5,9,0.043211994,0.345454545454545,0.654545454545455,0.163636363636364,0.836363636363636,"UMW",1.33276044400385,0.0727272727272727,0.290909090909091,0.2,0.2
"178",NA,NA,NA,NA,0,NA,NA,NA,NA,0.4,3,1,8.40401352,5,1.328,1,4,0.333333333,0.6,0.4,0.8,0.2,"CPL",3.10835753648928,0.2,0.2,0,0
"18",0,0,0,0,16,0,0,0,0,0.405140438,79,4,130.1909486,410,75.119,5,99,0.002338524,0.192682926829268,0.807317073170732,0.241463414634146,0.758536585365854,"CPL",1.55237756677668,0.0048780487804878,0.0121951219512195,0.0048780487804878,0.00975609756097561
"180",NA,NA,NA,NA,0,NA,NA,NA,NA,0.472727273,2,1,16.18677741,11,17.878,2,0,0.082828283,0.181818181818182,0.818181818181818,0,1,"UMW",1.51422329477464,0.0909090909090909,0.909090909090909,0,0.363636363636364
"184",0,0,0,0,1,0,0,0,0,0.337092732,9,14,86.65254753,57,48.4,4,34,0.020710868,0.157894736842105,0.842105263157895,0.596491228070175,0.403508771929825,"CPL",1.49852765583607,0.0701754385964912,0.263157894736842,0,0.0350877192982456
"185",0,0,0,0,1,0,0,0,0,0.21978022,6,1,15.75213389,14,5.133,3,5,0.159340659,0.428571428571429,0.571428571428571,0.357142857142857,0.642857142857143,"NAP",1.11649352661938,0,0,0,0
"187",0,0,0,0,1,0,0,0,0,0.533333333,6,17,9.005019309,25,12.355,2,2,0.044782609,0.24,0.76,0.08,0.92,"CPL",1.37123928938569,0,0,0,0
"188",3,3,0,0,3,100,100,0,0,0.103962704,36,1,39.38981251,66,33.219,4,18,0.047304779,0.545454545454545,0.454545454545455,0.272727272727273,0.727272727272727,"CPL",1.84914733891355,0.378787878787879,0.439393939393939,0.0909090909090909,0.0909090909090909
"189",7,7,7,7,7,100,100,100,100,0.242766006,46,1,141.7070558,133,32.055,6,2,0.012522632,0.345864661654135,0.654135338345865,0.0150375939849624,0.984962406015038,"WMT",1.55405295493274,0.977443609022556,0.992481203007519,0.977443609022556,0.984962406015038
"19",0,0,0,0,1,0,0,0,0,0.104761905,14,1,28.67499508,21,4.353,4,13,0.206265664,0.666666666666667,0.333333333333333,0.619047619047619,0.380952380952381,"SAP",2.6261981492778,0,0.0952380952380952,0,0
"190",1,1,0,0,2,50,50,0,0,0.388888889,3,1,10.30078074,9,5.028,3,6,0.134920635,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,"NAP",0.944000594938378,0.111111111111111,0.222222222222222,0,0
"191",NA,NA,NA,NA,0,NA,NA,NA,NA,0.357142857,3,1,23.91361501,8,15.87,3,2,0.172619048,0.375,0.625,0.25,0.75,"WMT",0.931531836087432,0,0,0,0
"192",NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,25,30.58532275,26,62.475,2,18,0,0,1,0.692307692307692,0.307692307692308,"CPL",3.45183818558038,0,0.0769230769230769,0,0.115384615384615
"194",0,0,0,0,4,0,0,0,0,0.138551031,24,1,57.81772159,62,36.067,5,24,0.036550326,0.387096774193548,0.612903225806452,0.387096774193548,0.612903225806452,"UMW",1.29129463663642,0.0161290322580645,0.161290322580645,0.161290322580645,0.161290322580645
"195",NA,NA,NA,NA,0,NA,NA,NA,NA,0.733333333,1,4,8.966184029,6,18.999,1,3,0.066666667,0.166666666666667,0.833333333333333,0.5,0.5,"CPL",1.78860827220054,0.333333333333333,0.5,0,0
"196",0,0,0,0,1,0,0,0,0,0.797385621,2,15,61.81022149,18,63.524,2,4,0.013071895,0.111111111111111,0.888888888888889,0.222222222222222,0.777777777777778,"CPL",2.35443029061277,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"198",NA,NA,NA,NA,0,NA,NA,NA,NA,0.4,3,1,6.97010675,5,1.857,1,3,0.333333333,0.6,0.4,0.6,0.4,"NAP",2.93535940479752,0,0,0,0
"199",1,3,0,0,6,16.67,50,0,0,0.207099081,29,1,67.31032614,89,48.749,4,35,0.018365562,0.325842696629214,0.674157303370786,0.393258426966292,0.606741573033708,"NAP",1.16631935024187,0.0224719101123595,0.202247191011236,0,0
"2",5,5,0,0,72,6.94,6.94,0,0,0.070305614,804,1,491.7308903,3241,350.505,7,1760,0.001732476,0.248071582844801,0.751928417155199,0.543042270904042,0.456957729095958,"CPL",7.88375324073527,0.0178957112002468,0.0268435668003703,0.00617093489663684,0.01172477630361
"20",0,4,0,0,37,0,10.81,0,0,0.155627055,376,1,434.2133698,1118,200.483,6,746,0.002346857,0.336314847942755,0.663685152057245,0.667262969588551,0.332737030411449,"NAP",2.92595142159559,0.0438282647584973,0.223613595706619,0.0152057245080501,0.0966010733452594
