"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","PCconnall","net_id"
"52",8.21886973557528,-4.74265798845466,1.44471026156472,-1.47181645248906,2.49468265643444,1.38482383346233,-3.88247375548576,1.29309073785155,9.48907922434037,"52"
"53",1.34132488196076,-1.04304838309744,0.323000301536287,-0.37726492072055,-0.488760798938639,-1.04340974354608,-0.472689803396124,-0.181408936358441,1.69914754169532,"53"
"54",-0.471064378714424,0.771689205836439,-0.591040955047116,-0.815582557272814,-0.372973385547637,-0.287192578476602,-0.25256573948952,-0.270972940036183,0.904105015635949,"54"
"56",1.10684559415146,-0.988393375208764,-0.698037996546591,-0.870849266460627,-0.990574702654714,-0.186832963112464,0.0790267250907945,0.0219220955301716,1.48392339204188,"56"
"57",1.7507283844833,-1.47277420393363,0.494598017597897,-0.21158771442885,-0.253580773298964,-0.769556267218087,0.0262921384286219,0.248248205190535,2.28781855312169,"57"
"58",3.04225674161865,0.779316148795028,0.199237910102983,-0.0621698380607398,-0.969165152323904,2.06323837138795,0.938093980662647,-0.00827625334849978,3.14048718222139,"58"
"59",5.59422865874385,-3.67861630803273,0.54994288447684,-1.7829502413048,2.5637510145191,-0.525943741908321,-0.331261905209369,0.12749565831648,6.69534257734699,"59"
"60",1.54557712764424,-0.500029642039954,-0.0518580150023642,-0.250687684185582,-1.38094169716741,-0.110319406157694,-0.0826193814698476,-0.462302849175427,1.62445015325668,"60"
"61",-1.27901158161649,-0.493576251292383,0.381837160426598,0.609977464224964,-0.109820790186671,0.119171094917106,-0.0943792128423074,-0.112339262542211,1.37094425187495,"61"
"62",-0.821917929297446,-0.721068694567842,0.222672643698427,0.339319049366908,-0.825539987150299,-0.656608000168817,0.0762748774791728,0.46289525648146,1.09338426218159,"62"
"63",0.241182392678417,-1.24958924783955,-0.645410508519135,-0.571596105439417,-1.22047362448194,-0.562400073702927,0.175671756357282,0.376459597742482,1.27265165495288,"63"
"64",2.38940877688421,-1.78748870538506,-0.806067668028848,-0.447712114864956,-1.76819229859977,1.23187576632391,1.20269023402616,-0.0221946494532842,2.98402248230981,"64"
"65",0.96172011300404,2.25158935644019,-0.679542312254118,0.0239667258313835,0.0391761271719579,0.308835822532361,0.0679699472432973,0.276389728313897,2.44837909764629,"65"
"66",-2.65632316513769,-1.53079439618842,-0.686379153322367,-0.00587266005191728,0.888546357200065,0.98391544180297,0.159026872897909,0.106514161224028,3.06584152249411,"66"
"67",2.58628602593885,-0.198158536921356,-1.63845710420014,1.13033742802039,-0.89228621360611,0.890590078354233,1.3631148742764,-0.19905842800726,2.59386626750906,"67"
"68",1.65604495479191,-1.31058752395856,-0.42633642346628,-0.518400390760923,-1.22654865234192,0.235685764603017,0.183585442549987,0.0580895586622508,2.11190069611418,"68"
"69",0.815660481986849,2.86172279331888,0.0279323752198514,-0.0253248106255171,0.11293782947689,0.316974016132338,-0.144335011593404,0.287958771398053,2.97569477058313,"69"
"70",-0.196941478681418,0.20755782081383,0.407021499209936,0.222348652903605,-0.801497218604391,-0.601745687735757,-0.104476981754173,0.00515652516380505,0.286122692225223,"70"
"71",2.02398331318912,0.311120215009648,0.869545062699417,-0.577411794088756,1.41848825103707,-0.613526661614922,0.356747210856909,0.120926806045777,2.0477559034845,"71"
"72",-0.3031032725011,1.15248349179236,-0.229957525484442,-0.276669042224044,-0.0474026909893519,0.127898757084288,0.031610130856587,0.124254223483805,1.19167520434672,"72"
"73",-0.277563636674967,-0.572728831325484,0.155427189441861,0.106768304479798,-1.03627517787792,-0.845172741978162,-0.0572471475056694,0.27384235606576,0.636443152713334,"73"
"74",0.311949603512157,-0.0408064753195427,-0.0913879575318601,-0.422521313339395,-0.594596196674201,-0.609951922248374,-0.0499289878689289,-0.188410787971432,0.31460725287157,"74"
"75",1.58355717149368,0.588730771781555,-0.0209578328453798,-0.265371495116196,-0.929080933850271,0.62746523994092,0.673686186026978,-0.0797596906801716,1.68945471588663,"75"
"77",0.568948393501532,3.23891483327667,0.0967879274793197,-0.607231776850768,0.201857002962195,0.37529085401275,-0.194692963313389,0.278368169509306,3.28850597866077,"77"
"78",0.895232027941316,2.08759309618581,1.12743717736135,0.90528664045999,-0.380789098013319,0.195874599852829,0.139697197915248,0.237864633103498,2.2714500476776,"78"
"79",-0.141928693704526,-1.44034110582761,0.696265615393792,0.607636246651491,-1.09082602651875,-1.22776031473314,-0.0729648543970984,0.76925010829199,1.44731691596325,"79"
"80",0.294665072745915,1.06645542254879,-0.231124527036056,-0.48223154876178,-0.448610764562081,0.278987828445628,0.340119108915814,0.267995430224143,1.10641523551516,"80"
"81",-0.601360049234944,0.213290583538274,-0.493837303179551,-0.566136846171698,-0.393543708448637,-0.47028338561521,-0.234954110251487,-0.452012810676766,0.638064872753509,"81"
"83",-0.671688290825968,-1.21719035410983,-0.15491298329556,0.00725778628677999,-0.496300942039162,-0.183187956300137,-0.0106850687902111,0.347510283562672,1.39022211109259,"83"
"85",-0.415145045766119,0.949852972978847,0.544881992110169,0.284821857005544,-0.134619490901908,0.0662004957604928,-0.0473280386420781,0.197469085639176,1.03661279140328,"85"
"86",0.134083725566596,-0.118771209083694,0.207929854953981,0.109641881277226,-0.886456082126718,-0.421684826319953,0.0499065366097821,0.0334656874695629,0.179122990062752,"86"
"87",-0.236118058612899,-0.887370057751393,-0.704332040993424,-0.749225158295942,-0.914557443125282,-0.851754208060415,-0.161397768748412,0.0461720373090013,0.918246893268273,"87"
"88",0.0411807128115886,-1.2639576076134,0.25256430590267,0.105478549367483,-1.03190419499123,-1.12616190847609,-0.136639859347438,0.579380681773778,1.26462827935779,"88"
"90",5.13329090393687,0.731120004851735,-3.81120646440122,5.28609804130817,1.17778968865614,0.0331941965567759,0.600969138589858,-0.137029323315902,5.18509517424081,"90"
"91",-1.25297520413225,-0.541638490811794,0.850112924911507,1.05852503538155,-0.167120259275577,0.185682762142984,-0.16691082626732,-0.164645963193082,1.36503447461928,"91"
"92",0.727045348271487,1.01535602167829,0.179931086739042,-0.253218085318238,-0.55866919522489,-0.0758316987489806,0.253579953692598,0.0543170968500911,1.24881655546424,"92"
"93",0.71244939047016,2.84006043606377,0.00658730592446892,-0.125634683052151,0.0891655438942525,0.297451908881537,-0.176466872266438,0.297121654268566,2.92805864259513,"93"
"94",-2.44289163539177,-1.80339938207445,0.716569591701711,1.41487133258617,0.461319715581118,0.796579478351651,0.113548785384624,0.27144257373939,3.03644016465558,"94"
"95",3.92894981033827,0.798313481451337,3.88123899275592,2.42301933477411,0.603870584976564,0.22478279013644,1.18232896280342,-0.192885585958407,4.0092332218049,"95"
"96",-0.798383595075298,-0.228458363554652,-0.471138000004646,-0.420812686167433,-0.28417548120346,-0.320363859236177,-0.067956493235732,-0.00419620800318081,0.830427353092025,"96"
"97",-1.19125453499967,-0.598603116952221,-0.771477488221177,-0.630183778099776,-0.157426528592718,-0.147691454370162,-0.145507568554299,-0.0877774227587872,1.33319655669454,"97"
"98",1.97486593169229,-0.479096408595091,0.0613255336166253,-1.35693373226074,1.48942502587133,-1.1664765411321,0.59751856120946,-0.293745673930949,2.03214881760356,"98"
"99",2.57356907416271,-1.32041102347107,0.95671272647452,-0.341415748357799,0.787477247733507,-1.01421721898456,0.158239353299328,-0.361223855044149,2.89253229029351,"99"
"100",2.72808813161328,1.63690085439545,-3.23764912902988,2.81705124990681,0.47525046027059,0.283294827547692,-0.21648077773258,0.435032735081361,3.18149481548686,"100"
"102",-0.133221166312444,-0.744146499608066,-0.470851704975157,-0.612880838532815,-0.881014492421326,-0.876687451446805,-0.379429723855301,-0.0659139994829622,0.755977441483927,"102"
"103",-0.694349322153257,-0.433756653962371,-0.296136154251866,-0.268087549769993,-0.611198183316922,-0.463863694285925,-0.186139014558662,-0.188326001112476,0.818697634069697,"103"
"104",-0.645297828950936,-0.879298657983305,0.811037225744274,0.98217321752786,-0.714802373155486,-0.229016929668773,0.204750615926913,0.501867413699241,1.09067658725217,"104"
"105",0.552009790003087,2.45629385234482,0.199842383122899,-0.463755773039132,-0.13634692961653,0.33321327562554,-0.0666726355762061,0.287312016998154,2.51755720835222,"105"
"106",-2.87271997327018,-2.83280106234826,-0.777771640425085,0.0835584781472371,0.802665576656746,0.645811351953725,0.337845257356926,0.581754720250638,4.03451135872324,"106"
"108",-1.93955387230257,-1.21246010455677,1.42238646948244,1.8408692897377,0.650611437956743,0.87480173103209,-0.01780582255042,0.0270445084366677,2.28734097342432,"108"
"109",2.06744367760453,-1.35718110327867,0.497648170756056,-1.3960779202579,3.10609311154807,-2.40817124929002,0.942402200413717,-0.0676359392985219,2.47310814708206,"109"
"110",-0.727465843396876,-1.44755291667044,-0.506869752921568,-0.347550177286573,-0.923164689184505,-0.860828991573802,0.0205212195767874,0.708857055406263,1.62006666525493,"110"
"111",0.232427450232545,-0.00544415076048018,0.712148367724055,0.251444235069291,-0.344068292622189,-0.716754850278388,-0.224269583225914,-0.188306907264679,0.232491200691778,"111"
"112",1.36843244938672,3.20607161356805,3.14946229197345,2.31387419352037,-0.59684834695945,0.248259288104025,-0.146233245026195,0.312273510738457,3.48590053786125,"112"
"113",-0.552266762266798,0.789702866175876,-0.670731868817869,-0.833664878031026,-0.058685161814743,0.186526230520178,-0.0002627280885312,0.224899984059549,0.963654083969474,"113"
"114",-0.543077067346167,-1.11581013834485,-0.123201428159336,0.0795411968711716,-0.81790231435367,-0.507401324902439,0.161219692281403,0.0792285827426949,1.24095324888187,"114"
"115",-0.894679118199587,-0.984895031979213,-0.896805185938922,-0.61928960347798,-0.568654136663048,-0.607787392306491,0.0371364029636672,0.226698643439645,1.3305896995542,"115"
"117",0.474218578985554,0.0733254162602541,-0.302844740499942,-0.747856422113456,-0.470465282461235,-0.55301718218979,-0.259583568565306,-0.149387130425482,0.479854016680926,"117"
"118",2.13598497294045,0.73591008311758,2.00834059815395,0.671247740988873,0.781889998682774,-0.630450700139555,0.461583667488742,-0.150155641932415,2.25920239355874,"118"
"119",2.23774164506667,-1.35003710933293,2.07222010447987,0.927152714519479,0.450799610754776,-0.980313798686114,-0.268645260136432,-0.247463677008356,2.61344367963836,"119"
"120",0.316004636660457,-0.458798413151296,0.249633375161901,-0.0309447337446603,-1.01863156636223,-0.984271600878245,-0.240003611281488,-0.132477014638256,0.557095067561233,"120"
"122",1.03852157885007,0.464375678142728,0.287032943346071,-0.332086160918056,-0.0482055697464568,-0.445951674649867,-0.0161848216507498,-0.238306863568824,1.13761673694956,"122"
"123",0.315142349791231,-0.311281696187206,-0.945253989247435,-0.0404816273523829,-0.86157267786599,-0.479119309243532,0.17897658592897,0.0337176520881441,0.44295710290402,"123"
