net_id,lagoslakeid,strength_km
6,243051,36803.082
6,245061,46759.95
6,243830,48234.548
6,247138,42618.825
6,243578,52238.344
6,236780,40182.067
6,238977,56938.435
6,240225,57610.096
6,239905,64682.933
6,240097,36448.472
6,239964,68680.162
6,239851,57415.108
6,245706,50849.687
6,239820,35090.707
6,239268,37156.583
6,239689,46610.697
6,242826,40380.794
6,236870,42604.569
6,247780,34963.073
6,241711,46805.578
6,244367,62082.301
6,239308,42091.79
6,246524,37013.619
6,241590,54951.962
6,240831,59170.345
6,241836,43607.837
6,238314,38106.851
6,239896,51802.302
6,244213,38306.962
6,240749,42995.718
6,239926,64819.997
6,241944,64447.252
6,237535,55868.438
6,236948,52429.63
6,242622,47747.304
6,237943,41474.681
6,237798,43799.943
6,242906,63165.557
6,249117,45860.753
