net_id,lagoslakeid,vert_btwn_centr_norm
2,164075,0.002466849
2,169777,0.001850708
2,172001,0.001234187
2,168677,0.007994961
2,165760,0.001234187
2,167156,0.001234187
2,161375,0.001234187
2,167187,0.001234377
2,169826,0.01044199
2,167534,0.001234187
2,168875,0.002467421
2,162687,0.001234187
2,168187,0.00676916
2,172100,0.00185109
2,162301,0.001234377
2,157300,0.001234187
2,165374,0.001234377
2,169387,0.003697986
2,162866,0.004312983
2,170573,0.024408539
2,166492,0.001234187
2,163593,0.001234187
2,168044,0.001234187
2,172452,0.001850708
2,161920,0.00308337
2,170853,0.014138261
2,169834,0.001234377
2,169313,0.001234187
2,170994,0.007388921
2,168560,0.001234187
2,164220,0.006157403
2,160179,0.001234187
2,163941,0.009840524
2,165755,0.001234187
2,163463,0.003082608
2,169939,0.001234187
2,167865,0.00676916
2,171868,0.001234187
2,158587,0.002466849
2,160546,0.007382251
2,162018,0.028000564
2,168086,0.017139873
2,167370,0.007382251
2,171567,0.001234187
2,163755,0.053917914
2,172338,0.017139873
2,160280,0.00185128
2,170312,0.004312983
2,164223,0.001850708
2,170855,0.003083752
2,165579,0.002466849
2,168727,0.009221906
2,169083,0.001850708
2,171444,0.001234187
2,166308,0.001234377
2,170231,0.001850708
2,167249,0.001850708
2,165944,0.023791637
2,168169,0.001234187
2,168928,0.002466849
2,170707,0.001234187
2,171978,0.005543359
2,163398,0.002466849
2,165711,0.001850708
2,161671,0.001234377
2,162179,0.001234187
2,170674,0.002466849
2,170851,0.001850708
2,165701,0.118692326
2,161065,0.001234187
2,169047,0.011666648
2,161933,0.001234187
2,168203,0.004314889
2,164281,0.004927599
2,171754,0.003082608
2,171721,0.001234377
2,161878,0.003082608
2,166789,0.005546408
2,161628,0.028000564
2,156894,0.003082608
2,170642,0.001234187
2,158153,0.001850708
2,165609,0.001234187
2,163040,0.016570043
2,170559,0.001234377
2,165663,0.003697986
2,165187,0.050523138
2,163432,0.00308337
2,168624,0.001234187
2,169162,0.001234187
2,167383,0.001850708
2,168915,0.001850708
2,170323,0.006155687
2,163483,0.007382251
2,170259,0.001850708
2,166512,0.001850708
2,163640,0.001850708
2,162069,0.001234187
2,164469,0.126070003
2,164204,0.001234187
2,167600,0.002466849
2,171311,0.006157403
2,165943,0.060439893
2,169587,0.002466849
2,164464,0.003699511
2,165017,0.005541834
2,162058,0.004927599
2,168177,0.017746485
2,169837,0.002466849
2,162036,0.006157403
2,168039,0.005544693
2,160653,0.002467611
2,169075,0.005541834
2,166416,0.001234187
2,165191,0.003083942
2,163338,0.004312983
2,171421,0.004312983
2,164076,0.001234187
2,161181,0.002466849
2,165296,0.001234187
2,172268,0.003698939
2,169045,0.006155687
2,167379,0.00308337
2,168859,0.001234187
2,172356,0.001234187
2,168076,0.00308337
2,166525,0.001850708
2,168249,0.001234377
2,161420,0.001850708
2,164205,0.018964282
2,160679,0.001850708
2,172251,0.001850708
2,163326,0.011052794
2,165725,0.001234187
2,168132,0.001850708
2,164898,0.002466849
2,164885,0.001234187
2,169004,0.001850708
2,172366,0.005541834
2,166787,0.002466849
2,161208,0.002467611
