net_id,WSA9
383,UMW
384,CPL
385,NAP
386,NPL
387,CPL
388,XER
389,CPL
39,TPL
390,NAP
391,NAP
392,CPL
393,XER
394,NAP
395,XER
396,UMW
397,UMW
398,NAP
399,UMW
4,NAP
40,WMT
400,UMW
401,NAP
402,NAP
403,CPL
404,XER
405,CPL
406,UMW
407,NAP
408,XER
409,CPL
41,UMW
410,WMT
411,CPL
412,NPL
413,WMT
414,CPL
415,NAP
416,CPL
417,NAP
418,CPL
419,SAP
42,NAP
420,WMT
421,XER
422,CPL
423,CPL
424,UMW
425,XER
426,CPL
427,NAP
428,NAP
429,UMW
43,UMW
430,CPL
431,NAP
432,XER
433,WMT
434,NAP
435,NAP
436,NAP
437,UMW
438,CPL
439,NAP
44,CPL
440,XER
441,NAP
442,CPL
443,WMT
444,CPL
445,XER
446,TPL
447,CPL
448,WMT
449,NAP
45,SPL
450,CPL
451,NAP
452,UMW
453,CPL
454,UMW
455,NAP
456,WMT
457,TPL
458,XER
459,UMW
46,NAP
460,WMT
461,XER
462,NPL
463,XER
464,CPL
465,NAP
466,XER
467,CPL
468,NAP
469,UMW
47,NAP
470,NAP
471,NAP
472,CPL
473,CPL
474,CPL
475,NPL
476,WMT
477,XER
478,WMT
479,CPL
48,CPL
480,NAP
481,XER
482,CPL
483,CPL
484,TPL
485,NAP
486,CPL
487,UMW
488,TPL
489,UMW
49,NAP
490,XER
491,CPL
492,UMW
493,UMW
494,NAP
495,UMW
496,NAP
497,CPL
498,CPL
499,NAP
5,SAP
50,SPL
500,XER
501,NAP
502,TPL
503,WMT
504,NAP
505,TPL
506,XER
507,XER
508,WMT
509,UMW
51,CPL
510,TPL
511,CPL
512,CPL
513,CPL
514,WMT
515,XER
516,WMT
517,UMW
518,NPL
519,CPL
52,SPL
520,WMT
521,XER
522,CPL
523,NAP
524,CPL
525,CPL
526,CPL
527,WMT
528,WMT
529,TPL
53,NAP
530,CPL
531,NAP
532,CPL
533,NPL
534,NAP
535,CPL
536,UMW
537,NPL
538,NAP
539,WMT
54,CPL
540,NAP
541,XER
542,CPL
543,XER
544,WMT
545,XER
546,TPL
547,NAP
548,CPL
549,SPL
55,UMW
550,TPL
551,TPL
552,CPL
553,CPL
554,NAP
555,CPL
556,UMW
557,NAP
558,NAP
559,NAP
56,UMW
560,CPL
561,CPL
562,CPL
563,WMT
564,CPL
565,UMW
566,NAP
567,WMT
568,CPL
569,UMW
57,NAP
570,UMW
571,CPL
572,UMW
573,UMW
574,UMW
575,UMW
576,CPL
577,NPL
578,UMW
579,WMT
58,CPL
580,WMT
581,UMW
582,CPL
583,WMT
584,XER
585,CPL
